	5		40.7697
	6		48.7198
	7		55.2157
	8		63.6746
	9		73.0238
	10		80.1559
	11		87.0462
	12		96.2264
	13		104.984
	14		111.576
	15		119.222
	16		128.727
	17		136.638
	18		143.154
	19		151.671
	20		161.002
	21		168.095
	22		175.026
	23		184.241
	24		192.954
	25		199.529
	26		207.229
	27		216.74
	28		224.598
	29		231.127
	30		239.695
	31		249
	32		256.051
	33		263.021
	34		272.269
	35		280.934
	36		287.492
	37		295.245
	38		304.758
	39		312.564
	40		319.107
	41		327.724
	42		337.001
	43		344.012
	44		351.022
	45		360.299
	46		368.916
	47		375.459
	48		383.265
	49		392.778
